Data for 5 different surface types
Source : R. Guzzi, private communication

For present purposes I propose that you take average values
(extrapolated to 1000 nm) for each surface type, and estimate an
average land surface albedo from the sand, soil, and vegetation.

a. Wavelength (nm)
b. Surface reflectance values for sand surface
c. Surface reflectance values for soil surface
d. Surface reflectance values for snow surface
e. Surface reflectance values for vegetation surface
f. Surface reflectance values for water surface

 a      b      c      d      e      f
 240.0  0.091  0.030  0.949  0.059  0.025
 265.0  0.091  0.030  0.949  0.059  0.025
 290.0  0.091  0.030  0.949  0.059  0.025
 295.0  0.091  0.030  0.949  0.059  0.025
 300.0  0.091  0.030  0.949  0.059  0.025
 305.0  0.094  0.031  0.949  0.059  0.026
 310.0  0.097  0.032  0.950  0.059  0.026
 315.0  0.100  0.033  0.950  0.059  0.028
 320.0  0.103  0.034  0.951  0.059  0.029
 325.0  0.106  0.035  0.951  0.059  0.030
 330.0  0.106  0.035  0.952  0.059  0.031
 335.0  0.109  0.036  0.952  0.059  0.032
 340.0  0.112  0.037  0.953  0.059  0.032
 345.0  0.115  0.038  0.953  0.059  0.033
 350.0  0.118  0.039  0.954  0.059  0.033
 355.0  0.121  0.040  0.954  0.059  0.033
 360.0  0.127  0.042  0.954  0.059  0.034
 365.0  0.130  0.043  0.955  0.059  0.035
 370.0  0.136  0.045  0.955  0.059  0.036
 375.0  0.139  0.046  0.955  0.059  0.036
 380.0  0.142  0.047  0.956  0.059  0.036
 385.0  0.148  0.049  0.956  0.059  0.037
 390.0  0.151  0.050  0.956  0.059  0.037
 395.0  0.157  0.052  0.957  0.059  0.038
 400.0  0.160  0.053  0.957  0.059  0.040
 405.0  0.162  0.055  0.956  0.059  0.042
 410.0  0.164  0.056  0.956  0.059  0.044
 415.0  0.166  0.058  0.955  0.059  0.046
 420.0  0.168  0.059  0.955  0.059  0.048
 425.0  0.170  0.061  0.954  0.059  0.048
 430.0  0.172  0.062  0.953  0.059  0.049
 435.0  0.174  0.064  0.953  0.059  0.050
 440.0  0.176  0.065  0.952  0.059  0.051
 445.0  0.178  0.067  0.952  0.059  0.052
 450.0  0.180  0.068  0.951  0.059  0.052
 455.0  0.182  0.070  0.951  0.059  0.053
 460.0  0.184  0.072  0.950  0.059  0.053
 465.0  0.186  0.074  0.950  0.059  0.053
 470.0  0.188  0.076  0.949  0.059  0.053
 475.0  0.190  0.078  0.949  0.059  0.053
 480.0  0.192  0.080  0.948  0.059  0.053
 485.0  0.194  0.082  0.948  0.059  0.053
 490.0  0.196  0.084  0.947  0.059  0.052
 495.0  0.198  0.086  0.947  0.059  0.052
 500.0  0.200  0.088  0.946  0.059  0.052
 505.0  0.202  0.090  0.946  0.063  0.051
 510.0  0.204  0.092  0.945  0.067  0.051
 515.0  0.206  0.094  0.945  0.073  0.051
 520.0  0.208  0.096  0.945  0.078  0.050
 525.0  0.210  0.098  0.945  0.086  0.050
 530.0  0.212  0.099  0.944  0.095  0.049
 535.0  0.214  0.101  0.944  0.107  0.048
 540.0  0.216  0.103  0.944  0.119  0.046
 545.0  0.218  0.105  0.943  0.126  0.046
 550.0  0.220  0.107  0.943  0.133  0.045
 555.0  0.222  0.109  0.943  0.133  0.045
 560.0  0.224  0.112  0.942  0.133  0.044
 565.0  0.226  0.114  0.942  0.130  0.044
 570.0  0.228  0.116  0.941  0.127  0.043
 575.0  0.230  0.119  0.941  0.121  0.042
 580.0  0.232  0.121  0.941  0.115  0.041
 585.0  0.234  0.123  0.940  0.111  0.041
 590.0  0.236  0.125  0.940  0.107  0.040
 595.0  0.238  0.128  0.939  0.104  0.040
 600.0  0.240  0.130  0.939  0.100  0.039
 605.0  0.242  0.133  0.939  0.098  0.038
 610.0  0.244  0.136  0.939  0.096  0.037
 620.0  0.248  0.141  0.938  0.090  0.035
 630.0  0.252  0.147  0.938  0.088  0.034
 640.0  0.256  0.152  0.937  0.085  0.032
 650.0  0.260  0.158  0.937  0.084  0.031
 660.0  0.264  0.162  0.935  0.084  0.031
 670.0  0.268  0.167  0.934  0.092  0.030
 680.0  0.272  0.171  0.932  0.112  0.027
 690.0  0.276  0.176  0.931  0.137  0.027
 700.0  0.280  0.180  0.929  0.178  0.025
 710.0  0.284  0.182  0.926  0.227  0.020
 720.0  0.288  0.184  0.923  0.266  0.017
 730.0  0.292  0.187  0.920  0.308  0.016
 740.0  0.296  0.189  0.917  0.347  0.014
 750.0  0.290  0.191  0.914  0.379  0.013
 760.0  0.294  0.195  0.908  0.410  0.012
 770.0  0.298  0.199  0.902  0.429  0.012
 780.0  0.302  0.202  0.895  0.445  0.011
 790.0  0.306  0.206  0.889  0.460  0.011
 800.0  0.310  0.210  0.883  0.471  0.010
