number of values
      110507
wavenumber [cm-1]  F0 [W/(m2 mu)]
  50000.00000000  7.72900009E+00
  49751.24378109  8.14299965E+00
  49504.95049505  8.75599957E+00
  49261.08374384  9.26299953E+00
  49019.60784314  1.03349991E+01
  48780.48780488  1.11490002E+01
  48543.68932039  1.12109995E+01
  48309.17874396  1.26119995E+01
  48076.92307692  1.42340002E+01
  47846.88995215  1.86490002E+01
  47619.04761905  2.60859985E+01
  47393.36492891  3.16910000E+01
  47169.81132075  3.65459976E+01
  46948.35680751  3.26860008E+01
  46728.97196262  3.91730003E+01
  46511.62790698  4.15469971E+01
  46296.29629630  3.67269974E+01
  46082.94930876  3.42709999E+01
  45871.55963303  4.43100014E+01
  45662.10045662  4.81020012E+01
  45454.54545455  5.23570023E+01
  45248.86877828  4.41839981E+01
  45045.04504505  4.60709991E+01
  44843.04932735  5.87570000E+01
  44642.85714286  6.54339981E+01
  44444.44444444  5.85179977E+01
  44247.78761062  4.83830032E+01
  44052.86343612  3.71329994E+01
  43859.64912281  4.86230011E+01
  43668.12227074  5.19099998E+01
  43478.26086957  4.91289978E+01
  43290.04329004  5.32189980E+01
  43103.44827586  5.26429977E+01
  42918.45493562  4.98500023E+01
  42735.04273504  4.10050011E+01
  42553.19148936  4.42189980E+01
  42372.88135593  5.09180031E+01
  42194.09282700  4.97130013E+01
  42016.80672269  4.50610008E+01
  41841.00418410  4.46190033E+01
  41666.66666667  4.20009995E+01
  41493.77593361  4.07789993E+01
  41322.31404959  6.13079987E+01
  41152.26337449  6.82519989E+01
  40983.60655738  6.52249985E+01
  40816.32653061  5.80859985E+01
  40650.40650407  4.87589989E+01
  40485.82995951  5.16209984E+01
  40322.58064516  5.07810020E+01
  40160.64257028  4.43940010E+01
  40000.00000000  6.05260010E+01
  39840.63745020  5.33150024E+01
  39682.53968254  4.14949989E+01
  39525.69169960  4.43899994E+01
  39370.07874016  5.43230019E+01
  39215.68627451  6.54779968E+01
  39062.50000000  8.77259979E+01
  38910.50583658  1.15536003E+02
  38759.68992248  1.27266998E+02
  38610.03861004  1.21296997E+02
  38461.53846154  9.11779938E+01
  38314.17624521  8.32279968E+01
  38167.93893130  9.91920013E+01
  38022.81368821  1.06358002E+02
  37878.78787879  2.20550003E+02
  37735.84905660  2.43190002E+02
  37593.98496241  2.61627014E+02
  37453.18352060  2.48248993E+02
  37313.43283582  2.54000000E+02
  37174.72118959  2.43896011E+02
  37037.03703704  2.61076996E+02
  36900.36900369  2.66705994E+02
  36764.70588235  1.98923004E+02
  36630.03663004  2.24371002E+02
  36496.35036496  1.62255997E+02
  36363.63636364  1.43820999E+02
