depolarization factor rho and gamma as function of wavelength
A. Buchholtz, 1995: Rayleigh-scattering calculations for the 
terrestrial atmosphere, Applied Optics, Vol 34, 2765-2773, Table 1
wavelength   rho_n     gamma
    [nm]
    200    4.545E-02  2.326E-02
    205    4.384E-02  2.241E-02
    210    4.221E-02  2.156E-02
    215    4.113E-02  2.100E-02
    220    4.004E-02  2.043E-02
    225    3.895E-02  1.986E-02
    230    3.785E-02  1.930E-02
    240    3.675E-02  1.872E-02
    250    3.565E-02  1.815E-02
    260    3.455E-02  1.758E-02
    270    3.400E-02  1.729E-02
    280    3.289E-02  1.672E-02
    290    3.233E-02  1.643E-02
    300    3.178E-02  1.614E-02
    310    3.178E-02  1.614E-02
    320    3.122E-02  1.586E-02
    330    3.066E-02  1.557E-02
    340    3.066E-02  1.557E-02
    350    3.010E-02  1.528E-02
    360    3.010E-02  1.528E-02
    370    3.010E-02  1.528E-02
    380    2.955E-02  1.499E-02
    390    2.955E-02  1.499E-02
    400    2.955E-02  1.499E-02
    450    2.899E-02  1.471E-02
    500    2.842E-02  1.442E-02
    550    2.842E-02  1.442E-02
    600    2.786E-02  1.413E-02
    650    2.786E-02  1.413E-02
    700    2.786E-02  1.413E-02
    750    2.786E-02  1.413E-02
    800    2.730E-02  1.384E-02
    850    2.730E-02  1.384E-02
    900    2.730E-02  1.384E-02
    950    2.730E-02  1.384E-02
   1000    2.730E-02  1.384E-02

