SNR,R^2,P-value,Standard Error,Slope,Intercept
100,"[[0.2717271051325021, 1.5874044787089172e-05, 0.014099687932776819], [0.5564147783462403, 0.43421895687671896, 0.3190232698186284], [0.6575601840081116, 0.09104648900477533, 0.3455329284266183]]","[[0.0005626313608066573, 0.9805339682800599, 0.4655338456300516], [3.317226873684715e-08, 3.779758807293461e-06, 0.00014655680154776316], [2.2481976191515995e-10, 0.058461643332548587, 6.655301628582753e-05]]","[[0.06824461592010528, 3.943778881598955e-17, 0.06851561800828661], [0.045825772021418645, 0.0549010164682058, 0.06648097032470437], [0.0739515910548295, 0.10386832551688902, 0.09965280131405213]]","[[0.2569683287286282, -9.686159206962859e-19, 0.05050909952002473], [0.3163824481088575, 0.29648476198239254, 0.28050085733967456], [0.6317059204055194, 0.20264490749978673, 0.4463567738697969]]","[[0.8105098321558469, 9.99999999980765e-07, 0.11165065209445699], [0.035438761457931026, -0.026149597113377554, 0.6940498598033399], [-0.011488377322677379, 0.28646868622294114, 0.34557424995010316]]"
120,"[[0.2719416601588286, 0.0514034016249717, 0.014237993836127623], [0.46469448370554295, 0.07221238675329386, 0.12422334888897495], [0.6563591092723196, 0.08096942722279019, 0.3300522366837508]]","[[0.0005593011241991933, 0.1594716796084251, 0.4633381803675638], [1.2802344632938825e-06, 0.09360832407368408, 0.025711275603653376], [2.4048833632003203e-10, 0.07514384099986815, 0.00010588084891750442]]","[[0.0682629557304171, 5.929421222763249e-17, 0.06853932022885], [0.04977458339569273, 0.08975434630670513, 0.0898802254058831], [0.07364013560024386, 0.10325078211382833, 0.10014653237743372]]","[[0.25717672942366115, 8.508622385850351e-17, 0.05077734086255068], [0.28587905063954333, 0.15435789637445574, 0.20867041825173743], [0.6273714024289786, 0.1889212030168615, 0.43330987230042445]]","[[0.8103498257061454, 9.999999999430819e-07, 0.11168074091971099], [0.05478653573056293, 0.05662552971532478, 0.6860292637539751], [-0.009097573849077972, 0.29293118358133213, 0.3479438125763957]]"
140,"[[0.2720417125972138, 0.010036407358042293, 0.013978448722158561], [0.5715628440051936, 0.22621625061809558, 0.11861470728746264], [0.6575716468479483, 0.07855191265686409, 0.33031120578154133]]","[[0.0005577546272141388, 0.5385120201349354, 0.46747203009624716], [1.693202471319502e-08, 0.0019237040041552417, 0.029540247794982374], [2.2467500033073874e-10, 0.07982885125587118, 0.00010506980706448198]]","[[0.06818156453583617, 2.6784045661936902e-17, 0.06847131611137501], [0.04422775284450355, 0.06515906939923312, 0.08070895700591955], [0.07304850330769642, 0.10379524858106366, 0.10058321600259883]]","[[0.2569349972124998, 1.662445832405678e-17, 0.0502558657764862], [0.31490177069419556, 0.21717947005744817, 0.18251556381495584], [0.6240074882078663, 0.18681520346614072, 0.435454169609928]]","[[0.8105805600429382, 9.999999999730501e-07, 0.11166251363347827], [0.04022702802980531, 0.013658937742111465, 0.7151681257208812], [-0.009994016828250213, 0.2935712317613982, 0.3493655082438142]]"
160,"[[0.2721412877637938, 0.014276245163946691, 0.014110578474573329], [0.6265526261021027, 0.36286539585676153, 0.2597505532729094], [0.6556785284175898, 0.08065279861424855, 0.32770591680845446]]","[[0.0005562195829569853, 0.46273378456863323, 0.46536036268261394], [1.1934755822643586e-09, 3.911239300887311e-05, 0.0007819613150666493], [2.498211636949755e-10, 0.07574094046043822, 0.00011350698590529601]]","[[0.0682154523646363, 4.1659269405317e-17, 0.06850544332614658], [0.04113103168370405, 0.05354210324831692, 0.0692044413575229], [0.07379939563874763, 0.10397871402803203, 0.10073439000584924]]","[[0.2571273282327751, 3.090529084060529e-17, 0.05052137772365862], [0.3284168820971851, 0.24908318253688108, 0.25270565491191566], [0.6277808037345033, 0.1898480680367497, 0.4335428777915415]]","[[0.8104692404234406, 9.999999999277787e-07, 0.11164865717220991], [0.02827477783357618, -0.020228551571163295, 0.7223612746132075], [-0.00994881884710544, 0.2928737875219382, 0.3482563635741748]]"
180,"[[0.2723229976527966, 0.013532787664320488, 0.014203397856732726], [0.6071790595599112, 0.29836300145239036, 0.28154029919624485], [0.6607808104161264, 0.08266712592910028, 0.32923490848812037]]","[[0.0005534288008426125, 0.4747072465866784, 0.4638858830208641], [3.165606911831571e-09, 0.0002662399708815905, 0.00042821757627507594], [1.874461259740378e-10, 0.07202399393161206, 0.00010848000564267259]]","[[0.06822074026261273, 5.920261599301507e-17, 0.06851608160901294], [0.04354144724033259, 0.060446827781293754, 0.07007448141447215], [0.07298803641654071, 0.10335012723438923, 0.10044919489641954]]","[[0.2572652100840354, -4.2744968559798004e-17, 0.050697528034607364], [0.33369963797227276, 0.24298616975849532, 0.2704087671437365], [0.627960003730922, 0.19125189836753004, 0.43381640456480597]]","[[0.8103453725809251, 9.999999999903281e-07, 0.11168695791618277], [0.03358314227753402, -1.8599261918245125e-05, 0.6931559632612612], [-0.010430303590722861, 0.2916642373882957, 0.3491759694439456]]"
200,"[[0.27214572528133174, 0.024495635909584364, 0.014180723935020338], [0.6223323376238031, 0.37459155006563927, 0.29112553535132946], [0.6568955900942902, 0.0841315124013983, 0.3340277462682039]]","[[0.0005561512689463274, 0.3348285101461783, 0.4642453926750054], [1.4821720553578404e-09, 2.709658338996945e-05, 0.00032701444907836524], [2.333657739229345e-10, 0.06944000848929008, 9.406480263044662e-05]]","[[0.0682360844821233, 5.691116861239826e-17, 0.06852393419553629], [0.04266913830145383, 0.05266492265533379, 0.06780626336164347], [0.07329259160633389, 0.10395900719627109, 0.10033804311629195]]","[[0.2572079787610451, 5.559286454837323e-17, 0.050662268933068674], [0.33764626878379445, 0.2512524844575192, 0.2678656927665231], [0.6251538353691735, 0.19423017949292398, 0.4380469178369465]]","[[0.8103781531922997, 9.999999999108997e-07, 0.11167856911555142], [0.02181172154759159, -0.022116518630368856, 0.7229946502987551], [-0.010500461676576284, 0.29109894269532327, 0.34788323717821856]]"
220,"[[0.2720404994868808, 0.03175697049197147, 0.014007456993900632], [0.4558507450491343, 0.2100449307011923, 0.11318856282053293], [0.6599724805801516, 0.08069323932901763, 0.32893454733409805]]","[[0.0005577733534912397, 0.2712614506347409, 0.4670071375465653], [1.7630777996791529e-06, 0.002939219388551005, 0.0337838437808818], [1.962287832493181e-10, 0.07566440551173961, 0.00010945041359989248]]","[[0.06822014117739979, 5.047435347638365e-17, 0.06850899183513627], [0.05278871647720742, 0.06711573065465072, 0.0825391996253595], [0.07264230648705473, 0.10363991153628854, 0.10049219305969065]]","[[0.25707958179307633, 5.634947917065523e-17, 0.050336406544044796], [0.29784150375087237, 0.21333937964240832, 0.18177647677396433], [0.6238602332343779, 0.1892810689560235, 0.4337069944534234]]","[[0.8104880176484215, 9.999999999387525e-07, 0.11169594272011125], [0.05728667457176431, 0.027912620577021527, 0.6900244335730823], [-0.010397802123426308, 0.2935480534615729, 0.3492053390298887]]"
240,"[[0.27208749569630425, 0.0020996176357165365, 0.014003869132061118], [0.44563403050221007, 0.38155161744901017, 0.21598274610256138], [0.6604844293084235, 0.08374580572110372, 0.33391891711074567]]","[[0.0005570483336344629, 0.7788952445035479, 0.4670645979192676], [2.536326563016611e-06, 2.172795329612512e-05, 0.0025173580836858373], [1.9062213392138841e-10, 0.0701112287255444, 9.437077603241694e-05]]","[[0.06822005080034207, 5.0861643765046254e-17, 0.06851123725966772], [0.05044137476935503, 0.06446759974672112, 0.07691215570880423], [0.07248290825826509, 0.10377900488350543, 0.10035891779144154]]","[[0.25710974553685984, -1.4381649543587718e-17, 0.050331517583942054], [0.2787851301571919, 0.3121463202832491, 0.24884762575048475], [0.623202019939816, 0.19340818309275046, 0.438030881506763]]","[[0.8104605352702002, 9.99999999957701e-07, 0.11171746723965574], [0.06058992626814143, -0.01242771256407535, 0.6664762871386196], [-0.01043103911042162, 0.2914762603882226, 0.3482986050785405]]"
260,"[[0.2719336286348436, 0.00992440996726101, 0.014098715744519407], [0.6043596141314566, 0.15597584738064174, 0.0998304266409194], [0.6576509786796787, 0.08278238427490525, 0.32941139642171]]","[[0.0005594254446755354, 0.540798509200455, 0.46554933722125547], [3.634157573343174e-09, 0.011666935622904134, 0.04701740634271799], [2.2367555862749953e-10, 0.07181707800676777, 0.0001079136503413245]]","[[0.06827776653012277, 4.688980754234032e-17, 0.06855865567360231], [0.043116456197248104, 0.07165920850494062, 0.07939810778690239], [0.07356314370712842, 0.10423558229293226, 0.10069757861912752]]","[[0.2572273108843389, 2.893932652320676e-17, 0.05053905913158685], [0.32849764913387763, 0.18989566246561168, 0.16299386184905973], [0.6285144527741197, 0.1930370032992024, 0.435062901323116]]","[[0.8103677669716165, 9.999999999478327e-07, 0.11172042399278967], [0.04821821767773174, 0.0417259745742954, 0.694090653323713], [-0.010392852121113377, 0.2923249474230779, 0.3471527045933155]]"
280,"[[0.27223070791092374, 0.0935886936768576, 0.014163744703303244], [0.56217109508917, 0.1642935832995586, 0.10699427615169795], [0.6565684042585959, 0.08225375531394512, 0.33124477803093366]]","[[0.0005548445443255026, 0.054885600941702355, 0.46451489512580135], [2.575985719349392e-08, 0.009467922785563694, 0.03937775310299931], [2.376854422907627e-10, 0.07277114828142855, 0.00010219505327040976]]","[[0.06824696945385708, 5.808620742398219e-17, 0.06853945665978621], [0.047424761907831, 0.0692743013449285, 0.08621728411316475], [0.07292930349057775, 0.10380356022690632, 0.10036580591861466]]","[[0.25730419225272383, 1.1505721439425395e-16, 0.05064296305367815], [0.331267628463335, 0.18934218533011302, 0.18396672952807697], [0.6216038991973313, 0.19156695972180904, 0.4354301545907521]]","[[0.8103267995113576, 9.999999998747242e-07, 0.11171200969005199], [0.038761421816189745, 0.03572660403448247, 0.7029595627509918], [-0.009957697024730205, 0.29321045079064945, 0.34809586888082017]]"
