SNR,R^2,P-value,Standard Error,Slope,Intercept
100,"[[0.5639556582291112, 0.0303457346148362, 0.2536252263583538], [0.15249764426799153, 0.24323249032410876, 0.10175873378027667], [0.7244726240913719, 0.3398063211184511, 0.5261742195176242]]","[[1.676093762627e-312, 3.3042984419138133e-13, 1.8222556225853113e-111], [7.181609940494305e-64, 2.737836633276153e-106, 4.706333829428826e-42], [0.0, 2.213549824209493e-157, 1.9636990484361888e-281]]","[[0.021491912038597193, 0.02638683063396425, 0.010438223879192698], [0.010130891806291974, 0.013860293709437725, 0.01259369253697007], [0.012871894007483646, 0.017723022682502566, 0.010693316371049024]]","[[1.0139642454099826, 0.1936502385437192, 0.2524264095972548], [0.17827860325066375, 0.32598110126697205, 0.1758461510794908], [0.865887562860237, 0.5274827652829805, 0.4674748927029797]]","[[0.2879270917969375, 0.15939480460826905, 0.09144382458838089], [0.2540046844361882, 0.17354997794580654, 0.33042010905188846], [-0.022435016186478335, 0.24400029613312052, 0.16216421208888682]]"
120,"[[0.5639045538981349, 0.030093602197771675, 0.25332637883193626], [0.16436569221329678, 0.2465766018781758, 0.10157146401397689], [0.7248084643248265, 0.33990324234401514, 0.5254107728635523]]","[[1.85401901487e-312, 4.1494238330748986e-13, 2.5731634971499293e-111], [3.7136613997803907e-69, 6.017170332253351e-108, 5.636157643068111e-42], [0.0, 1.9505637876668225e-157, 7.853112042775229e-281]]","[[0.021492359566349917, 0.026329188159921867, 0.010456940517008309], [0.00975165045604963, 0.01303638312211992, 0.011860562909405084], [0.01296042737174309, 0.01789210227534286, 0.010774365177166562]]","[[1.0138800041941063, 0.19239779002273005, 0.25267942271801197], [0.17941800216115875, 0.3093883315030349, 0.16543973428784678], [0.872577178424449, 0.5326300453636661, 0.4702975051864675]]","[[0.288122724794175, 0.15942639075155135, 0.09172349661293797], [0.25962598715521296, 0.18192232642165868, 0.3259748441468335], [-0.022835688643750435, 0.2415068459785213, 0.16003224016137105]]"
140,"[[0.564051762965744, 0.030501535669880456, 0.2543176901937317], [0.1554079537129052, 0.27963369927805753, 0.10094135234802228], [0.7235406747293606, 0.34293231169374344, 0.5248900813418036]]","[[1.38639202267e-312, 2.870481474326088e-13, 8.187321212992984e-112], [3.6865763142128634e-65, 9.654621190932095e-125, 1.0335434727045032e-41], [0.0, 3.7102336396733135e-159, 2.018575718167386e-280]]","[[0.021486029282205787, 0.02636580748322656, 0.010447325239605775], [0.009539196008856462, 0.012721865280106177, 0.011953045712699317], [0.013009147641754839, 0.017977860061353334, 0.010880192862960662]]","[[1.0138848089386054, 0.19400762617053174, 0.25310860801241425], [0.16975217018672875, 0.32882080439392897, 0.1661535266216246], [0.8730821939806, 0.5387999897053536, 0.4744212827655541]]","[[0.2880566310755818, 0.15899189870376151, 0.09141099682229609], [0.2618620564109012, 0.1733666118445624, 0.3266181126942049], [-0.023188381579813178, 0.23917344494827122, 0.15881676399519362]]"
160,"[[0.5640159702832078, 0.03033027208352932, 0.25354455671298365], [0.2001683879323931, 0.29165069469887683, 0.13661352547250344], [0.7232695154850178, 0.3377626110503295, 0.5210705001967052]]","[[1.48792591828e-312, 3.3507756757525796e-13, 2.0001714875726084e-111], [1.4539601880726558e-85, 4.885341321317109e-131, 6.59585078799552e-57], [0.0, 3.1730286379077455e-156, 1.990713295297726e-277]]","[[0.021488939192229398, 0.02637784975501732, 0.010447013090942552], [0.009915055995352678, 0.01212905322060323, 0.011741057388051897], [0.013041423414092056, 0.01811771592637705, 0.010953122226424281]]","[[1.0139483251813883, 0.193533459425278, 0.2525851273824011], [0.20577095335760615, 0.3228680779305869, 0.19375007308763467], [0.8746554551022342, 0.5367756658782866, 0.4739590478994716]]","[[0.2880936446525174, 0.15934488497557692, 0.09134229454246594], [0.25050729102965674, 0.17059670457262932, 0.32517452374260897], [-0.02334050941845825, 0.24031407786369005, 0.15834468209904545]]"
180,"[[0.563901897652644, 0.030297923097528233, 0.25364065619687803], [0.1793502616740614, 0.3128870023848116, 0.11668457107221748], [0.7224092400844385, 0.34131848630465383, 0.5217568694604282]]","[[1.863766312785e-312, 3.4501343885002755e-13, 1.79007133129753e-111], [6.149036456262566e-76, 1.9882728995910303e-142, 2.405759351664849e-48], [0.0, 3.070207208806455e-158, 5.791125448622744e-278]]","[[0.021489267598084626, 0.026372929187650825, 0.010443781955658243], [0.009835025677293743, 0.012326795110839148, 0.012051863655958641], [0.013071471360444864, 0.018096493634573822, 0.010936957329194558]]","[[1.0137286688964569, 0.19339091598317235, 0.2525711130886107], [0.1907383506664649, 0.3450803993345629, 0.18171611943643076], [0.8747904920100625, 0.5404145552664921, 0.4739108703305085]]","[[0.28822408121783133, 0.15938123529526418, 0.09130883794956998], [0.25502394254596644, 0.1627160972128228, 0.3265708100842311], [-0.023818436289897854, 0.2396414921783899, 0.1578801283503307]]"
200,"[[0.563928533697053, 0.030363713205335697, 0.25364858471608326], [0.1786532784641245, 0.31808253379212476, 0.14507180026595803], [0.7237120606835405, 0.34081591463554217, 0.5223029823087143]]","[[1.768296155955e-312, 3.2510679844161807e-13, 1.7737551187279353e-111], [1.2791078362714244e-75, 2.8734534185831765e-145, 1.340230396719526e-60], [0.0, 5.922670451901814e-158, 2.1654446193321594e-278]]","[[0.021490282687411984, 0.026381122171826324, 0.010445186228803667], [0.009520503060997096, 0.01214360086437414, 0.011886232616668888], [0.013039213143666706, 0.018105644328866206, 0.01095714472407658]]","[[1.0138314590678252, 0.19366748412165247, 0.2526103636314542], [0.18420124590249962, 0.3440661307227886, 0.20312404637662596], [0.8754750246945422, 0.5400836079067344, 0.4753054793941649]]","[[0.28809711184156905, 0.15933203101345045, 0.09132277729289331], [0.25753805954406617, 0.16274923997485866, 0.32098951514154905], [-0.023586427951967637, 0.23909055297566828, 0.1577750338897956]]"
220,"[[0.5640509835482396, 0.03032406331295268, 0.25380498757279335], [0.17783301413592273, 0.33664205790509677, 0.12229979451582532], [0.7223684822940494, 0.34111412995418766, 0.5221703049804561]]","[[1.38852752784e-312, 3.369621325716793e-13, 1.480603360803698e-111], [3.026437532947767e-75, 1.3614557591625787e-155, 9.724971062936097e-51], [0.0, 4.010727916613537e-158, 2.7503212070741474e-278]]","[[0.021488155509596558, 0.026375472258943013, 0.010445944024754577], [0.009779273186243583, 0.011923542231299275, 0.011774595360695018], [0.013090328663022361, 0.018154778670064545, 0.010981415071322788]]","[[1.0139835345547403, 0.193495588437428, 0.25273304776844935], [0.18867883737462146, 0.3523756981619178, 0.18233758153028112], [0.8759634728066819, 0.5419087351467115, 0.47623165525393035]]","[[0.2880198357095637, 0.15938716191711588, 0.09134157014350622], [0.2530141342691209, 0.16391789212819136, 0.32467413856588206], [-0.02402353902312465, 0.23883167301165373, 0.15728782203558112]]"
240,"[[0.5639109109517679, 0.030335141642713583, 0.25368067824110024], [0.17134438942204086, 0.3011047979519182, 0.09865519728053741], [0.7229951653984104, 0.34050810438948553, 0.5213054650421399]]","[[1.83089756641e-312, 3.336068713780684e-13, 1.709213100603299e-111], [2.671361825297377e-72, 4.5774267175292606e-136, 9.296586401836979e-41], [0.0, 8.854801985624156e-158, 1.304734482034529e-277]]","[[0.021488918139428204, 0.026377898113959762, 0.010443443016430302], [0.00962128256105015, 0.011955857145924748, 0.01134603014807071], [0.013083793476204848, 0.018169804170748503, 0.010981793990187212]]","[[1.0137307610648119, 0.1935498356372649, 0.25258961383261286], [0.18149777738335976, 0.32555469341731746, 0.1557216058422305], [0.8768960980841695, 0.5416262156549685, 0.47542348564816644]]","[[0.2881358755212022, 0.15929437644923208, 0.09140925729589106], [0.2658742317090357, 0.1716162105187514, 0.3248385478052731], [-0.023877152032070414, 0.23887042217925353, 0.1571459129029425]]"
260,"[[0.5639905211834791, 0.030394538661673482, 0.2543101724536014], [0.1800557800936833, 0.3280905714421192, 0.12531787576075964], [0.7219305040313215, 0.34034275001528985, 0.5205036689012829]]","[[1.564604361786e-312, 3.1617878436951274e-13, 8.258778793531753e-112], [2.9277925544898755e-76, 8.440394941608182e-151, 4.9588294571916136e-52], [0.0, 1.0989365517110823e-157, 5.511673604846625e-277]]","[[0.021486639557983203, 0.02636509318015137, 0.010446880084515425], [0.009720012711393857, 0.011779808527764803, 0.01181332029066355], [0.013115846858259936, 0.018190506738443493, 0.010989065232743718]]","[[1.0137873568249183, 0.19365111289372444, 0.25309280651978844], [0.1889594636022089, 0.34148385367384626, 0.18549995174926276], [0.8767137013769468, 0.5420437167622294, 0.4749746592977575]]","[[0.28817223620819093, 0.15918266112855317, 0.09129404930496839], [0.2563750195710168, 0.16416035111816304, 0.3249204023875416], [-0.023775549151752257, 0.23894441005635814, 0.15695958511039781]]"
280,"[[0.5640235040009279, 0.03031060323909235, 0.2536196248427745], [0.16103178608235671, 0.3304707954690081, 0.10829260069604726], [0.7232455089219064, 0.3404117300126928, 0.5210905687410012]]","[[1.465955262195e-312, 3.410841633341919e-13, 1.834081986935021e-111], [1.1540803594025597e-67, 3.968144599546965e-152, 8.530717666215004e-45], [0.0, 1.0042643034654426e-157, 1.9201735695042434e-277]]","[[0.021486977601738753, 0.02637640515135209, 0.010446369134973876], [0.009791738219932174, 0.01175094121644124, 0.01153235105544656], [0.013096258748088986, 0.018203290918816274, 0.011010031281199519]]","[[1.013871299136993, 0.19345813947586973, 0.2526196477549915], [0.17796445986851406, 0.3424876133234451, 0.16672337609043625], [0.8782804512708114, 0.542507993494129, 0.47644074997216723]]","[[0.2881206716746364, 0.15936681256116042, 0.09134102552218779], [0.2579615330062224, 0.16490445505900775, 0.3303506583627043], [-0.024093699101798954, 0.23827577316637638, 0.15688588708638126]]"
