SNR,R^2,P-value,Standard Error,Slope,Intercept
100,"[[0.5831086042831439, 0.03036576233684924, 0.2169492268469486], [0.18243261472182365, 0.21206274421948526, 0.27391921249585827], [0.7354256646003499, 0.31010019596302585, 0.5277972909508105]]","[[0.0, 3.245055650511719e-13, 1.6639141413167643e-93], [2.3924049229905787e-77, 3.555291437975709e-91, 8.750947651742949e-122], [0.0, 6.502017331007428e-141, 1.0234812603680458e-282]]","[[0.01891954784292997, 0.02364889376855915, 0.010258418243528118], [0.019613927026212168, 0.01692157541410996, 0.014016225549365813], [0.013432403383499394, 0.019106235439157945, 0.010830697239211031]]","[[0.9282489085236736, 0.173615857193297, 0.22400356429937834], [0.38436554730006867, 0.36418126468875245, 0.357141474487254], [0.9290512981754705, 0.5314024713376355, 0.4750246997750703]]","[[0.2195435674898733, 0.201775498789518, 0.159850038375934], [0.29510430771725404, 0.09689822279303523, 0.23940648405259554], [-0.012916917343246459, 0.23498589016254087, 0.13857322965381697]]"
120,"[[0.583051741711694, 0.030584767795679608, 0.22073407889990837], [0.18380756897040226, 0.2430975536197936, 0.287903492734247], [0.7358194219959673, 0.30970939300255435, 0.5269113125525271]]","[[0.0, 2.662557462848748e-13, 2.5509247147893608e-95], [5.600066462842603e-78, 3.1926887439262314e-106, 4.6070944717902164e-129], [0.0, 1.0591421442864412e-140, 5.140051333571245e-282]]","[[0.018917947219911444, 0.0235261022377907, 0.010238825123506549], [0.019845515425422497, 0.016659810993363357, 0.014036485145712792], [0.013543170538786616, 0.01931337286303041, 0.010907580383141267]]","[[0.9280618301898441, 0.17335568534366697, 0.2260645231721218], [0.3906953407433498, 0.39167950286237607, 0.3702566305150334], [0.9376612374559223, 0.5366730250878167, 0.4775472374966973]]","[[0.21971049872215315, 0.20103450138832485, 0.16006670802283166], [0.2949382199618348, 0.07941402520137153, 0.2397620547732442], [-0.013523624095217401, 0.23238642479674568, 0.13618538635742888]]"
140,"[[0.5830470582177114, 0.030458471667335917, 0.2167608440252892], [0.17905618069046217, 0.23721389003950638, 0.3025766546841087], [0.7343707592690749, 0.312882220439734, 0.5271753652294585]]","[[0.0, 2.984353269358859e-13, 2.047449974709519e-93], [8.376388181980022e-76, 2.5304546075704026e-103, 7.442372988773053e-137], [0.0, 2.0002308369371185e-142, 3.1784516642610565e-282]]","[[0.01891790679392697, 0.0236467850069425, 0.010257578976664372], [0.01984429454451175, 0.016322277230377744, 0.014168318579674728], [0.013599131620965633, 0.01939401055044379, 0.011003923203636653]]","[[0.9280509072837849, 0.1738734950033708, 0.22386104457787093], [0.3844714001577512, 0.3776068420035622, 0.38714906688047535], [0.9380400041397369, 0.5429163392089243, 0.482020481118436]]","[[0.21964714074845704, 0.20163501561345787, 0.1598721561928021], [0.30127131722602335, 0.07964579335748165, 0.23691531643479632], [-0.013748771946443805, 0.22996371641146898, 0.1348489675738815]]"
160,"[[0.5829749203617747, 0.03083517501580625, 0.21943393583467607], [0.1806175044690222, 0.2804671529802757, 0.2892317597878522], [0.7339239153730991, 0.3080369865712422, 0.5234852052044413]]","[[0.0, 2.123465549658964e-13, 1.073890986823705e-94], [1.6209153237225884e-76, 3.560111801151935e-125, 9.219387758088367e-130], [0.0, 8.520009868049862e-140, 2.5647086504489784e-279]]","[[0.018920465685623045, 0.023602253486980005, 0.010242815311736946], [0.019445553491237316, 0.015680507161042682, 0.014041592062978244], [0.013649575173940597, 0.019538523941684087, 0.011078600307581525]]","[[0.9280387393616811, 0.17464988045080124, 0.22529774276567663], [0.3787453610579941, 0.40613108471629805, 0.3715914990877947], [0.9404423307049783, 0.5408068439312483, 0.4817140804550926]]","[[0.21971664135632124, 0.20099761198458388, 0.15973712463140805], [0.2943043670745969, 0.07746235519661249, 0.2393857998673989], [-0.01396973800463408, 0.2309124855633987, 0.1343795457742159]]"
180,"[[0.5828895490698641, 0.03160017421009372, 0.22256022455557714], [0.1862963589316205, 0.28230365250175077, 0.2836397180139789], [0.7332640488026001, 0.3112091819383832, 0.523539014195781]]","[[0.0, 1.0636660245919241e-13, 3.3738865522821142e-96], [4.017967865083447e-79, 3.935438976762712e-126, 7.899932843367783e-127], [0.0, 1.6258038843042605e-141, 2.3270904689518553e-279]]","[[0.01892057537852441, 0.023587828985963243, 0.010220698489349075], [0.019710712724844346, 0.015700932449614385, 0.01403250200674878], [0.013673878567524196, 0.01952912790180802, 0.01106574543365805]]","[[0.9278811947655093, 0.17676480265288963, 0.22686181861099777], [0.3912567267348847, 0.40851100523660483, 0.36630540022774805], [0.9405276612753078, 0.5445726315622076, 0.48120702984521135]]","[[0.2197053955146015, 0.2000981005616998, 0.15937370008654528], [0.2953040930424462, 0.07224768049048347, 0.24006742627056743], [-0.014522614341310802, 0.2304248233327661, 0.13388265743020414]]"
200,"[[0.5830200301621722, 0.030799941040487406, 0.21927604891803568], [0.201394189378217, 0.30558989822118765, 0.3168963048982571], [0.7346167929786237, 0.31060512859187156, 0.5242635191616691]]","[[0.0, 2.192153083716325e-13, 1.2784958018160675e-94], [3.87307625204467e-86, 1.7841854024298435e-138, 1.284503652523034e-144], [0.0, 3.460031795779502e-141, 6.277957551367545e-280]]","[[0.01891914281174623, 0.023603090175811144, 0.010243492881331844], [0.019396950061263643, 0.01515086976204656, 0.014009245309749148], [0.013640253006422597, 0.019541419470976665, 0.01108362275794708]]","[[0.9280599507820693, 0.17455308443634457, 0.22520879780409625], [0.4040928052440363, 0.41695528410064353, 0.3958406996681137], [0.9414701783189988, 0.5441477396704928, 0.48268495493105223]]","[[0.21964259459281266, 0.20109021527826934, 0.1597770257785571], [0.2876265553751013, 0.06391394567138015, 0.24087536363243017], [-0.014214658837189642, 0.2298205157601891, 0.13369515141354005]]"
220,"[[0.5830823149576411, 0.030766242126656164, 0.21932431885467352], [0.21637235563861387, 0.29404655516057693, 0.2873971686944918], [0.7337955699842621, 0.31115768833643825, 0.524163200301979]]","[[0.0, 2.259924719762294e-13, 1.2121199447726293e-94], [3.1399013980613854e-93, 2.6361894097468504e-132, 8.500290643216357e-129], [0.0, 1.733968824763402e-141, 7.527592230667425e-280]]","[[0.018918115363967817, 0.023603594965475247, 0.010242574029836332], [0.01943585083426599, 0.015454110955562206, 0.014097950497946687], [0.013676518603411108, 0.019577719882568338, 0.011102664541214429]]","[[0.9281284396718148, 0.17445826519633115, 0.22522034320299172], [0.42368199157782865, 0.41376569254951867, 0.3714188041393064], [0.941989147220543, 0.5458620551002504, 0.48341698342969]]","[[0.21958921797527647, 0.20113301274734707, 0.1598048850775558], [0.2899149845942357, 0.06928190684601326, 0.23483998290742603], [-0.014744137922361844, 0.22962324697318098, 0.13332736734006095]]"
240,"[[0.5830273750079674, 0.02954723309406532, 0.21531226107594667], [0.22774799521123693, 0.2991409460260814, 0.2973950422520085], [0.7337042467884703, 0.3103257638081626, 0.5233097531499179]]","[[0.0, 6.796483832819564e-13, 1.007377139447355e-92], [1.0497030439474563e-98, 5.136498474062936e-135, 4.382504518425653e-134], [0.0, 4.905501959795672e-141, 3.5211535804221718e-279]]","[[0.01891798439179453, 0.023578412603825368, 0.010269912800296531], [0.019183401340972038, 0.01529222034480311, 0.014033475667033616], [0.013696770972284176, 0.019610053641458278, 0.011105929548833004]]","[[0.9280171443329209, 0.17067747380167045, 0.22317376430112348], [0.4321791462095022, 0.4144609037080528, 0.3787624684809089], [0.9431635863639907, 0.5457027370015693, 0.482732602209165]]","[[0.21966351249669192, 0.2024949058575553, 0.16057533063550805], [0.28408040875906454, 0.06684070665018096, 0.23831442922847765], [-0.014553815497013345, 0.22957351943693663, 0.13307013503775156]]"
260,"[[0.583100115459122, 0.030773462567854067, 0.21930705278277793], [0.23383350807672532, 0.3009293019449435, 0.29269070866875746], [0.7329042721641374, 0.3100628586235753, 0.522302394176183]]","[[0.0, 2.2452296366524599e-13, 1.2354574752154156e-94], [1.144947206378789e-101, 5.682981547306421e-136, 1.3773109721110868e-131], [0.0, 6.812379158586572e-141, 2.1677411951219598e-278]]","[[0.018918081841064763, 0.023602387947386103, 0.010242627125943385], [0.01907273446967761, 0.0151029957628684, 0.013791035263672065], [0.013720401588224733, 0.019632431492278463, 0.011112764852212556]]","[[0.9281607763256623, 0.17447046309579683, 0.22521015492538787], [0.4371144798669171, 0.4110789373268286, 0.36803327868387625], [0.9428604396870511, 0.5459899348346052, 0.4820554928424016]]","[[0.2196166533521065, 0.201106176375702, 0.1597916280281688], [0.2875563452181559, 0.06632355787644253, 0.23806093905964243], [-0.014451353095659092, 0.22977605807166343, 0.1329068790202863]]"
280,"[[0.5830363253255162, 0.03077732264064342, 0.21930634620806835], [0.21786986707051428, 0.3065765582808358, 0.3241012750111585], [0.7341941357617767, 0.31032117465119713, 0.5229938672160166]]","[[0.0, 2.2374128104508006e-13, 1.2364220113090664e-94], [6.033688493244608e-94, 5.240522764191677e-139, 1.3844022434107672e-148], [0.0, 4.9337069352277285e-141, 6.22842980401737e-279]]","[[0.018917426874415416, 0.023599894629184878, 0.010241099319377162], [0.01900440485715184, 0.01498173421872212, 0.013791622007710877], [0.01369853335035164, 0.019639950615816668, 0.011133579988613841]]","[[0.9280068783089919, 0.174463320591602, 0.22517609757817694], [0.41610581408339253, 0.41325939542210754, 0.3961916671969627], [0.9444689464114637, 0.5465288416380057, 0.4836281657414753]]","[[0.21967352548729413, 0.20109389058568528, 0.15980625970838375], [0.284676339619339, 0.06791686400511998, 0.23764544349102834], [-0.01477094721088229, 0.2290412030130579, 0.13282814069453894]]"
